"satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","division","salary","left"
0.64,0.73,4,184,3,0,0,"sales","medium",0
0.59,0.73,2,230,3,0,0,"technical","low",0
0.48,0.81,4,149,2,0,0,"management","medium",0
0.61,0.69,3,224,3,0,0,"hr","medium",0
0.95,0.65,3,155,2,1,0,"sales","medium",0
0.65,0.86,4,269,2,1,0,"hr","medium",0
0.56,0.59,5,209,2,1,0,"hr","high",0
0.84,0.6,3,186,3,1,0,"support","medium",0
0.18,0.51,5,159,6,0,0,"IT","medium",0
0.85,0.8,4,219,2,0,0,"marketing","medium",0
0.19,0.76,3,107,5,0,0,"support","low",0
0.36,0.6,2,136,6,0,0,"technical","low",0
0.52,0.62,5,239,2,0,0,"sales","medium",0
0.61,0.5,4,175,3,0,0,"support","medium",0
0.54,0.93,4,184,2,1,0,"marketing","medium",0
0.74,0.51,4,246,3,1,0,"marketing","medium",0
0.65,0.74,4,228,2,1,0,"IT","medium",0
0.61,0.42,3,145,4,0,1,"sales","medium",0
0.7,0.93,4,241,3,0,0,"sales","low",0
0.63,0.87,2,101,3,0,0,"technical","low",0
0.56,0.68,3,208,3,1,0,"support","medium",0
0.93,0.52,4,200,3,0,0,"technical","low",0
0.29,0.75,3,124,4,0,0,"marketing","medium",0
0.74,0.84,3,239,4,0,0,"sales","medium",0
0.62,0.94,4,252,4,0,0,"accounting","low",0
0.24,0.62,5,199,4,0,0,"sales","low",0
0.49,0.8,3,227,4,1,0,"technical","low",0
0.6,0.57,3,202,3,0,0,"support","low",0
0.42,0.91,3,209,2,0,0,"technical","low",0
0.65,0.54,6,181,4,0,0,"RandD","low",0
0.57,0.89,4,255,3,1,0,"technical","low",0
0.37,0.51,2,153,3,0,0,"IT","high",0
0.66,0.62,2,159,3,1,0,"technical","medium",0
0.75,0.77,4,204,2,0,0,"support","low",0
0.49,0.68,3,192,7,0,0,"management","high",0
0.61,0.83,4,153,2,0,0,"technical","low",0
0.79,0.59,4,187,2,0,0,"management","low",0
0.74,0.94,4,157,2,0,0,"sales","medium",0
0.79,0.94,4,216,4,0,0,"sales","medium",0
0.7,0.74,3,224,3,0,0,"accounting","medium",0
0.79,0.95,3,222,4,0,0,"technical","low",0
0.77,0.74,5,243,2,0,0,"technical","low",0
0.59,0.73,4,247,10,0,0,"management","high",0
0.59,0.65,3,226,3,0,0,"support","medium",0
0.96,0.55,5,211,2,0,0,"sales","low",0
0.83,0.56,4,165,2,0,0,"technical","low",0
0.66,0.66,3,225,3,0,0,"technical","low",0
0.89,0.66,5,224,2,0,0,"sales","medium",0
0.75,0.64,3,195,3,0,0,"sales","high",0
0.65,0.94,4,174,3,0,0,"sales","medium",0
0.22,0.88,4,213,3,1,0,"technical","medium",0
0.17,0.59,5,250,5,0,0,"marketing","low",0
0.25,0.98,6,287,5,1,0,"sales","low",0
0.19,0.83,3,225,4,0,0,"sales","low",0
0.71,0.53,5,162,2,0,0,"sales","low",0
0.97,0.68,3,185,2,0,0,"technical","medium",0
0.61,0.97,4,256,4,0,0,"technical","medium",0
0.63,0.41,3,180,5,1,0,"marketing","medium",0
0.71,0.58,3,194,4,0,0,"sales","low",0
0.81,0.99,2,156,5,0,0,"sales","medium",0
0.57,0.56,3,241,3,0,0,"technical","high",0
0.75,0.59,4,199,2,0,0,"RandD","low",0
0.5,0.78,3,206,3,1,1,"sales","high",0
0.78,0.53,3,152,2,0,0,"marketing","low",0
0.53,0.63,3,205,2,0,0,"technical","medium",0
0.49,0.37,4,216,4,0,0,"technical","low",0
0.17,0.78,3,239,6,0,0,"sales","low",0
0.79,0.92,3,204,3,0,0,"support","medium",0
0.74,0.63,3,231,3,0,0,"technical","low",0
0.53,0.53,4,257,2,0,0,"management","high",0
0.73,0.95,3,258,3,0,0,"technical","low",0
0.7,0.53,4,152,3,0,0,"technical","low",0
0.68,0.69,4,225,2,0,0,"technical","low",0
0.7,0.9,3,173,2,0,0,"technical","medium",0
1,0.89,3,189,3,0,0,"sales","low",0
0.98,0.96,4,253,3,0,0,"sales","low",0
0.81,0.77,5,102,5,0,0,"sales","medium",0
0.87,0.52,3,237,3,0,0,"support","low",0
0.77,0.75,4,191,3,0,0,"IT","medium",0
0.73,0.86,4,138,2,0,0,"RandD","low",0
0.89,0.91,3,264,3,1,0,"technical","low",0
0.94,0.72,3,152,2,1,0,"sales","medium",0
0.54,0.75,4,249,4,0,0,"support","medium",0
0.88,0.91,4,233,4,0,0,"technical","high",0
0.61,0.59,4,247,2,0,0,"technical","medium",0
0.76,0.71,6,168,2,0,0,"technical","high",0
0.89,0.55,3,260,2,0,0,"RandD","low",0
0.21,0.7,3,104,2,0,0,"technical","low",0
0.82,0.49,4,180,2,0,0,"RandD","low",0
0.51,0.79,5,267,3,0,0,"technical","medium",0
0.76,0.99,2,183,2,0,0,"technical","low",0
0.71,0.68,4,221,4,0,0,"technical","medium",0
0.66,0.89,4,169,4,0,0,"support","low",0
0.89,0.63,4,164,3,0,0,"hr","low",0
0.59,0.62,3,203,4,0,0,"support","medium",0
0.89,0.55,5,251,10,0,0,"management","high",0
0.25,0.53,4,160,4,0,0,"technical","medium",0
0.17,0.78,3,239,6,0,0,"sales","low",0
0.31,0.75,3,120,4,0,0,"sales","high",0
0.53,0.85,3,236,6,0,0,"sales","medium",0
0.68,0.55,4,215,4,0,0,"sales","high",0
0.52,0.68,3,162,4,1,0,"technical","low",0
0.93,0.5,2,135,3,0,0,"technical","high",0
0.49,0.94,3,144,3,1,0,"technical","medium",0
0.5,0.75,4,239,2,0,0,"accounting","low",0
0.92,0.64,4,190,10,1,0,"management","low",0
0.15,0.8,5,121,5,0,0,"sales","medium",0
0.71,0.97,3,219,3,0,0,"technical","high",0
0.79,0.59,4,187,2,0,0,"management","low",0
0.39,0.39,2,131,2,0,0,"marketing","high",0
0.65,0.6,4,200,4,0,0,"RandD","low",0
0.16,0.46,6,240,2,0,0,"product_mng","low",0
0.86,0.56,5,237,3,0,0,"technical","low",0
0.97,0.89,4,248,2,0,0,"sales","low",0
0.65,0.91,4,224,2,1,0,"sales","low",0
0.96,0.53,3,158,4,0,0,"technical","medium",0
1,0.96,4,155,3,0,0,"support","medium",0
0.57,0.53,3,162,3,0,0,"support","low",0
0.9,0.82,4,136,3,0,0,"product_mng","low",0
0.93,0.51,4,110,3,0,0,"product_mng","low",0
0.85,0.72,3,150,2,1,0,"technical","low",0
0.51,0.87,2,130,4,0,0,"sales","medium",0
0.6,0.53,5,103,2,0,0,"sales","low",0
0.96,0.55,3,225,4,1,0,"sales","medium",0
0.47,0.79,3,284,10,0,0,"sales","low",0
0.54,0.92,4,175,3,0,0,"support","low",0
0.96,0.6,5,269,2,0,0,"technical","medium",0
0.86,0.66,4,191,2,0,0,"technical","low",0
0.73,0.71,3,210,3,0,0,"technical","low",0
0.83,0.52,5,217,3,0,0,"RandD","low",0
0.62,0.52,6,253,4,0,0,"support","medium",0
0.67,1,4,145,3,1,1,"sales","medium",0
0.97,0.54,5,185,2,0,0,"sales","medium",0
0.74,0.6,3,232,3,0,0,"IT","low",0
0.56,0.92,3,232,2,0,0,"support","medium",0
0.98,0.81,3,180,2,1,0,"support","high",0
0.38,0.74,3,159,4,0,0,"technical","medium",0
0.86,0.89,3,250,2,0,0,"marketing","medium",0
1,0.71,5,186,2,0,0,"technical","low",0
0.71,0.9,3,138,3,0,0,"marketing","medium",0
0.6,0.85,3,242,2,0,0,"IT","low",0
0.55,0.9,4,199,3,0,0,"accounting","low",0
0.64,0.53,3,281,3,0,0,"sales","high",0
0.76,0.77,3,254,3,0,0,"product_mng","medium",0
0.53,0.63,4,259,2,0,0,"sales","medium",0
0.53,0.86,3,150,3,0,0,"support","low",0
0.49,0.52,5,188,4,0,0,"product_mng","medium",0
0.86,0.74,2,178,3,0,0,"management","medium",0
0.71,0.64,3,267,3,0,0,"technical","low",0
0.36,0.42,3,206,5,0,0,"marketing","high",0
0.68,0.61,4,147,3,0,0,"accounting","medium",0
0.89,0.62,5,196,3,0,0,"support","low",0
0.56,0.84,5,154,2,1,0,"support","low",0
0.58,0.86,4,257,3,0,0,"sales","low",0
0.97,0.54,3,154,8,1,0,"sales","medium",0
0.64,0.61,5,249,3,1,0,"support","medium",0
0.51,0.62,4,185,3,0,0,"management","low",0
0.24,0.63,4,203,5,0,0,"technical","low",0
0.73,0.93,3,205,3,0,0,"product_mng","high",0
0.58,0.78,5,211,3,1,0,"marketing","low",0
0.49,0.51,2,182,3,0,0,"sales","low",0
0.82,0.76,3,219,8,1,0,"IT","low",0
0.37,0.82,3,199,5,0,0,"management","medium",0
0.69,0.85,5,246,3,0,0,"IT","medium",0
0.51,0.91,3,227,2,0,0,"technical","low",0
0.56,0.83,3,236,3,1,0,"technical","medium",0
0.56,0.79,5,248,3,0,0,"sales","medium",0
0.87,0.61,3,162,2,0,0,"RandD","low",0
0.98,0.86,4,254,2,1,0,"RandD","low",0
0.6,0.91,2,168,4,0,0,"hr","low",0
0.26,0.99,5,184,5,0,0,"hr","low",0
0.56,0.92,5,160,3,0,0,"accounting","low",0
0.94,0.69,3,164,2,0,0,"IT","low",0
0.6,0.87,4,227,3,1,0,"technical","medium",0
0.87,0.62,5,197,2,0,0,"sales","low",0
0.83,0.67,5,132,2,1,0,"support","medium",0
0.66,0.84,4,197,2,0,0,"hr","low",0
0.82,0.61,3,229,2,0,0,"sales","medium",0
0.72,0.92,3,225,3,0,0,"management","medium",0
0.93,0.97,5,255,4,0,0,"support","medium",0
0.66,0.9,4,177,7,0,0,"sales","low",0
0.48,0.93,3,150,10,0,0,"technical","low",0
0.91,0.74,3,139,5,1,0,"hr","medium",0
0.92,0.62,4,196,3,0,0,"support","medium",0
0.21,0.71,4,270,2,0,0,"sales","high",0
0.87,0.52,3,158,2,1,0,"sales","low",0
0.62,0.58,3,192,2,0,0,"IT","low",0
0.93,0.7,5,231,7,0,1,"sales","high",0
0.64,0.61,4,136,3,0,0,"sales","high",0
0.81,0.99,5,143,3,0,0,"marketing","medium",0
0.8,0.95,3,247,3,0,0,"hr","medium",0
0.65,0.8,6,233,3,1,1,"support","medium",0
0.67,0.58,3,246,3,0,0,"technical","medium",0
0.6,0.95,3,221,3,0,0,"sales","low",0
0.79,0.59,5,197,4,0,0,"technical","medium",0
0.62,0.85,3,237,3,1,0,"IT","medium",0
0.49,0.48,3,190,2,0,0,"technical","medium",0
0.8,0.9,4,211,8,0,0,"accounting","medium",0
0.62,0.7,2,134,3,0,0,"product_mng","low",0
0.98,0.7,3,255,2,1,0,"marketing","low",0
0.51,0.59,4,169,3,0,0,"technical","low",0
0.78,0.91,3,132,2,0,0,"sales","medium",0
0.52,0.97,4,170,3,0,0,"support","medium",0
0.48,0.55,4,262,3,1,0,"RandD","high",0
0.52,0.59,3,164,3,0,0,"technical","medium",0
0.57,0.94,3,230,2,0,0,"hr","low",0
1,0.89,4,152,3,0,0,"technical","low",0
0.92,0.98,3,257,3,0,1,"sales","medium",0
0.89,0.91,3,233,2,0,0,"IT","medium",0
0.73,0.67,2,139,8,0,0,"sales","medium",0
0.9,0.88,4,205,2,0,0,"sales","low",0
0.54,0.61,3,152,3,0,0,"sales","medium",0
0.8,0.79,4,148,3,0,0,"RandD","medium",0
0.93,0.65,4,212,4,0,0,"IT","medium",0
0.56,0.68,4,159,3,0,0,"sales","low",0
0.76,0.6,4,177,2,0,0,"support","low",0
0.7,0.85,4,142,2,0,0,"support","low",0
0.9,0.89,4,254,7,0,0,"product_mng","low",0
0.98,0.56,5,180,3,0,0,"sales","medium",0
0.34,0.99,4,184,3,0,0,"RandD","medium",0
0.84,0.51,4,173,2,0,0,"technical","low",0
0.75,0.66,5,234,2,0,0,"management","high",0
0.92,0.9,4,179,3,0,0,"hr","low",0
1,0.8,5,162,3,1,0,"technical","medium",0
0.14,0.51,4,253,6,0,0,"RandD","medium",0
0.59,0.6,3,214,2,1,0,"product_mng","low",0
0.97,0.51,5,215,7,0,0,"management","high",0
0.7,0.93,3,185,4,0,0,"accounting","medium",0
0.49,0.91,4,134,4,0,0,"accounting","low",0
0.51,0.8,4,257,2,0,0,"support","low",0
0.72,0.71,3,242,2,0,0,"technical","medium",0
0.37,0.72,3,121,2,0,0,"sales","low",0
0.7,0.75,4,204,3,0,0,"technical","medium",0
0.17,0.52,4,184,4,0,0,"sales","low",0
0.61,0.5,3,231,3,0,0,"IT","high",0
0.65,0.95,3,190,3,0,0,"technical","low",0
0.68,0.53,3,156,4,0,0,"accounting","medium",0
0.49,0.94,3,144,3,1,0,"technical","medium",0
0.94,0.95,5,170,3,0,0,"support","medium",0
0.61,0.75,2,100,4,0,0,"technical","low",0
0.6,0.74,3,175,3,1,0,"hr","low",0
0.82,0.9,3,215,4,0,0,"management","high",0
0.99,0.81,5,180,3,1,0,"technical","medium",0
0.52,0.9,5,176,3,0,0,"technical","medium",0
0.9,0.74,3,193,3,0,0,"technical","medium",0
0.77,0.56,5,226,4,0,0,"sales","low",0
0.42,0.51,3,190,4,0,0,"support","low",0
0.98,0.69,2,204,4,0,0,"marketing","low",0
0.95,0.48,4,228,2,0,0,"sales","medium",0
0.72,0.55,4,145,3,0,0,"technical","low",0
0.97,0.6,3,162,3,0,0,"technical","medium",0
0.89,0.76,2,278,2,0,0,"sales","medium",0
0.34,0.41,2,141,3,0,0,"technical","medium",0
0.53,0.6,5,247,3,0,0,"technical","low",0
0.88,0.45,5,274,2,1,0,"support","medium",0
0.59,0.43,3,171,3,0,0,"hr","medium",0
0.51,0.58,4,140,2,1,0,"product_mng","low",0
0.5,0.59,4,192,2,0,0,"sales","medium",0
0.79,0.87,3,232,2,0,0,"support","low",0
0.63,0.57,5,160,2,0,0,"technical","low",0
0.92,0.55,3,172,2,0,0,"technical","high",0
0.4,0.47,5,173,5,0,0,"technical","medium",0
0.48,0.52,3,280,2,0,0,"hr","medium",0
0.6,0.77,3,202,3,0,0,"sales","low",0
0.75,0.66,5,234,2,0,0,"management","high",0
0.65,0.59,4,192,3,0,0,"technical","low",0
0.2,0.78,4,196,3,0,0,"management","low",0
0.92,0.51,4,167,3,1,0,"IT","medium",0
0.61,0.68,3,254,2,0,0,"accounting","low",0
0.71,0.6,4,208,3,0,0,"accounting","high",0
0.79,0.89,4,240,3,0,0,"sales","medium",0
0.59,0.77,3,169,3,0,0,"IT","low",0
0.2,0.56,5,181,6,0,0,"accounting","medium",0
0.65,0.52,4,266,3,1,0,"IT","medium",0
0.61,0.77,5,232,7,0,0,"sales","medium",0
0.58,0.73,3,165,2,0,0,"technical","medium",0
0.13,0.89,4,249,6,1,0,"support","medium",0
0.67,0.39,2,207,7,0,0,"sales","medium",0
0.79,0.62,5,167,3,0,0,"sales","low",0
0.98,0.77,3,191,2,0,0,"sales","medium",0
0.7,0.54,4,150,4,0,0,"technical","low",0
0.8,0.58,4,175,2,0,0,"RandD","low",0
0.64,0.93,5,198,2,0,0,"technical","high",0
0.75,0.74,4,153,2,0,0,"marketing","medium",0
0.91,0.49,3,267,3,0,0,"IT","medium",0
0.53,0.63,5,159,4,0,0,"sales","low",0
0.53,0.79,3,206,3,0,0,"technical","medium",0
0.42,0.6,2,188,3,0,0,"product_mng","medium",0
0.71,0.63,3,254,3,1,0,"sales","high",0
0.61,0.73,5,156,4,0,0,"sales","low",0
0.7,0.47,2,176,5,0,0,"product_mng","low",0
1,0.72,5,194,7,1,0,"sales","medium",0
0.49,0.65,4,176,3,1,0,"hr","medium",0
0.73,0.68,3,121,5,0,0,"RandD","low",0
0.49,0.84,5,193,3,0,0,"product_mng","medium",0
0.9,0.66,3,231,3,0,0,"hr","medium",0
0.61,0.96,3,214,2,0,0,"IT","medium",0
0.51,0.84,4,214,2,0,0,"technical","low",0
0.93,0.86,4,145,3,0,0,"technical","medium",0
0.53,0.88,3,157,3,0,0,"IT","low",0
0.91,0.69,5,240,3,0,0,"sales","medium",0
0.58,0.71,3,230,3,1,0,"sales","medium",0
0.84,0.63,3,121,3,1,0,"sales","low",0
0.88,0.93,4,195,2,0,0,"support","medium",0
0.73,0.68,3,132,2,0,0,"support","medium",0
0.8,0.62,5,190,4,1,0,"IT","medium",0
0.51,0.88,5,230,4,0,0,"technical","medium",0
0.61,0.47,2,149,3,0,0,"sales","medium",0
0.68,0.85,4,203,2,0,0,"technical","low",0
0.38,0.64,3,111,3,0,0,"technical","medium",0
0.79,0.88,3,195,4,0,0,"IT","low",0
0.56,0.8,5,202,4,0,0,"product_mng","low",0
0.66,0.62,4,250,2,0,0,"RandD","medium",0
0.73,0.87,4,263,2,0,0,"support","low",0
0.63,0.87,5,248,2,0,0,"technical","low",0
0.52,0.96,4,171,2,0,0,"sales","medium",0
0.62,0.91,3,251,10,0,0,"sales","medium",0
0.91,0.89,4,197,4,0,0,"marketing","medium",0
0.69,0.7,4,169,2,0,0,"sales","low",0
0.43,0.76,6,154,2,0,0,"management","high",0
0.97,0.5,3,188,3,1,0,"sales","low",0
0.56,0.61,3,250,2,0,0,"support","high",0
0.95,0.78,5,246,3,0,0,"support","low",0
0.86,0.82,2,207,4,1,0,"technical","low",0
0.53,0.81,3,226,3,1,0,"sales","low",0
0.51,0.52,5,261,3,1,0,"RandD","low",0
0.14,0.41,6,114,3,0,0,"sales","low",0
0.93,0.96,5,135,3,1,0,"sales","low",0
0.61,0.93,2,247,3,0,0,"technical","low",0
0.74,0.54,5,221,3,0,0,"technical","medium",0
0.48,0.94,3,185,2,1,0,"IT","medium",0
0.58,0.86,3,182,3,0,0,"RandD","low",0
0.4,0.48,4,97,2,0,0,"IT","low",0
0.91,0.76,3,197,3,0,0,"technical","medium",0
0.8,0.8,3,175,2,0,0,"RandD","medium",0
0.52,0.63,4,136,2,0,0,"support","medium",0
0.78,0.96,3,248,3,0,0,"IT","medium",0
0.87,0.54,4,211,3,0,0,"technical","medium",0
0.59,0.52,6,190,4,0,0,"sales","medium",0
0.21,0.39,2,118,4,0,0,"sales","medium",0
0.93,0.96,4,223,3,1,0,"support","high",0
0.89,0.57,4,176,4,0,0,"support","high",0
0.42,0.73,3,115,6,0,0,"sales","high",0
0.99,0.67,3,200,2,0,0,"technical","low",0
0.94,0.8,5,111,4,0,1,"RandD","medium",0
0.69,0.55,4,234,2,0,0,"sales","medium",0
0.59,0.73,3,172,6,0,0,"product_mng","medium",0
0.9,0.58,5,260,2,0,0,"support","medium",0
0.74,0.93,5,140,3,0,0,"technical","medium",0
0.49,0.54,3,145,3,0,0,"product_mng","high",0
0.84,0.66,3,114,6,1,0,"management","low",0
0.89,0.52,4,189,3,0,0,"support","medium",0
0.67,0.81,4,168,2,0,0,"support","high",0
0.76,0.56,4,214,2,1,0,"sales","medium",0
0.8,0.96,3,161,3,0,0,"technical","low",0
0.95,0.49,4,269,4,0,0,"support","medium",0
0.2,0.56,3,217,5,0,0,"hr","medium",0
0.71,0.88,3,140,2,0,0,"technical","low",0
0.96,1,4,167,2,1,0,"technical","low",0
0.8,0.65,4,172,3,1,0,"accounting","low",0
0.43,0.39,5,198,5,0,0,"RandD","medium",0
0.69,0.74,4,237,3,0,0,"technical","low",0
0.61,0.46,3,171,3,0,0,"IT","medium",0
0.58,0.95,4,173,3,0,0,"support","medium",0
0.24,0.88,5,199,5,1,0,"sales","medium",0
0.95,0.5,4,259,3,0,0,"sales","low",0
0.48,0.8,4,268,3,0,0,"RandD","medium",0
0.62,0.89,5,243,3,0,0,"support","medium",0
0.76,0.74,5,132,3,0,0,"technical","medium",0
0.62,0.81,3,245,2,1,0,"hr","low",0
0.65,0.65,5,180,2,0,0,"marketing","low",0
0.95,0.86,3,207,2,0,0,"technical","low",0
0.13,0.62,5,268,3,0,0,"sales","medium",0
0.71,0.51,3,248,4,0,0,"sales","low",0
0.54,0.76,3,183,3,0,0,"sales","low",0
0.74,0.56,3,125,6,0,0,"support","medium",0
0.73,0.82,3,133,3,0,0,"RandD","medium",0
0.73,0.72,4,233,2,0,0,"sales","low",0
0.85,0.9,5,247,2,0,0,"technical","medium",0
0.85,0.96,2,260,3,0,0,"support","medium",0
0.13,0.63,6,219,6,0,0,"marketing","low",0
0.69,0.83,4,252,3,0,0,"management","medium",0
0.44,0.42,4,159,4,0,0,"technical","medium",0
0.54,0.91,3,142,2,0,0,"support","low",0
0.61,0.72,3,144,2,0,0,"support","low",0
0.72,0.98,3,211,2,0,0,"IT","low",0
0.53,0.73,3,163,3,1,0,"IT","low",0
0.71,0.65,4,263,2,1,1,"technical","medium",0
0.19,0.63,4,142,6,0,0,"RandD","low",0
0.97,0.61,4,262,3,1,1,"marketing","medium",0
0.56,0.68,3,269,3,1,0,"technical","low",0
0.54,0.53,4,158,2,0,0,"technical","medium",0
0.55,0.77,3,256,3,1,0,"sales","low",0
0.24,0.91,5,258,6,0,0,"support","low",0
0.51,0.79,5,222,2,0,0,"technical","low",0
0.45,0.66,2,236,3,0,0,"marketing","medium",0
0.79,0.86,5,238,8,0,0,"sales","low",0
0.48,0.74,2,271,8,1,0,"management","medium",0
0.9,0.64,4,139,3,1,0,"management","medium",0
0.81,0.83,3,196,2,0,0,"technical","low",0
0.75,0.78,2,259,3,0,0,"product_mng","low",0
0.87,0.48,5,170,3,0,0,"sales","low",0
0.75,0.59,5,149,4,0,0,"sales","medium",0
0.22,0.69,3,212,3,0,0,"sales","medium",0
0.5,0.9,5,226,2,0,0,"management","high",0
0.98,0.76,5,168,3,0,0,"technical","low",0
0.53,0.89,3,167,2,0,0,"product_mng","low",0
0.87,1,3,148,3,0,0,"marketing","low",0
0.81,0.95,3,212,3,0,0,"technical","medium",0
0.83,0.91,3,251,2,0,0,"RandD","medium",0
0.57,0.82,5,233,7,0,1,"sales","medium",0
0.65,0.98,3,252,2,0,0,"product_mng","high",0
0.92,0.99,4,245,4,0,0,"IT","medium",0
0.3,0.57,2,158,2,0,0,"hr","medium",0
0.9,0.58,3,244,8,0,0,"sales","low",0
0.49,0.52,4,183,2,0,1,"marketing","medium",0
0.89,0.9,3,240,3,0,0,"sales","high",0
0.98,0.6,4,191,3,0,0,"IT","low",0
0.2,0.99,5,151,3,1,0,"support","low",0
0.58,0.87,4,181,3,0,0,"IT","medium",0
0.56,0.89,4,263,3,0,0,"accounting","low",0
0.77,0.59,4,273,2,0,0,"IT","high",0
0.78,0.68,4,174,3,1,0,"RandD","low",0
0.62,0.51,5,134,3,0,0,"sales","high",0
0.15,0.74,2,176,3,1,0,"sales","low",0
0.95,0.73,3,243,3,1,0,"sales","medium",0
0.94,0.8,4,266,3,1,0,"support","medium",0
0.28,0.37,3,164,4,1,0,"accounting","low",0
0.95,0.63,3,153,2,0,0,"sales","low",0
0.78,0.87,3,183,4,0,0,"RandD","low",0
0.95,0.52,3,183,2,1,0,"sales","low",0
0.24,0.73,4,273,5,0,0,"support","low",0
0.53,0.59,3,163,4,0,0,"accounting","low",0
0.83,0.99,5,132,3,0,0,"technical","low",0
0.49,0.87,4,171,3,1,0,"marketing","medium",0
0.52,0.88,3,261,4,0,0,"sales","medium",0
0.55,0.53,4,214,3,0,0,"sales","low",0
0.58,0.84,4,271,2,0,0,"support","medium",0
0.62,0.64,5,150,3,1,0,"technical","medium",0
0.87,0.97,4,160,3,0,0,"IT","low",0
0.58,0.59,3,207,7,0,1,"management","medium",0
0.78,0.43,4,275,3,0,0,"IT","low",0
0.85,0.89,4,150,3,0,0,"accounting","high",0
0.44,0.65,3,175,2,0,0,"IT","low",0
0.78,0.54,3,161,3,0,0,"support","medium",0
0.67,0.77,4,242,3,0,0,"marketing","medium",0
0.54,0.5,4,224,3,0,0,"marketing","low",0
0.5,0.54,4,175,2,0,0,"technical","low",0
0.64,0.67,3,165,3,0,0,"sales","low",0
0.16,0.69,4,187,5,0,0,"marketing","medium",0
0.19,0.5,5,126,3,1,0,"RandD","medium",0
0.94,0.78,3,184,3,1,0,"technical","medium",0
0.92,0.85,3,155,2,0,0,"accounting","medium",0
0.85,0.79,3,157,4,0,0,"support","medium",0
0.19,0.76,2,158,3,0,0,"support","high",0
0.31,0.63,3,150,3,1,0,"sales","medium",0
0.81,0.74,2,228,3,0,0,"management","high",0
0.97,0.58,5,156,2,1,0,"RandD","low",0
0.79,0.84,3,176,3,0,0,"support","low",0
0.2,0.9,5,228,6,0,0,"sales","medium",0
0.99,0.73,4,240,4,0,0,"accounting","low",0
0.71,0.68,3,231,2,1,0,"product_mng","low",0
0.82,0.59,5,143,2,1,0,"technical","high",0
0.83,0.74,4,249,2,0,0,"support","medium",0
0.72,1,4,151,2,0,0,"RandD","low",0
0.98,0.67,3,190,10,0,0,"IT","medium",0
0.76,0.57,5,255,4,0,0,"management","medium",0
0.6,0.73,5,203,2,0,0,"IT","medium",0
0.59,0.8,5,247,3,0,0,"accounting","medium",0
